background,background-(def-all-nosource)
sw-cycleway-right-line-paved,sidewalk-cycleway-line_right_paved-(def-all-osm)
sw-cycleway-right-line-paved-hc,sidewalk-cycleway-line_right_paved-(def-all-osm-hc)
hw-cycleway-line-paved,highway-cycleway-line_paved-(def-all-osm)
hw-cycleway-line-paved-hc,highway-cycleway-line_paved-(def-all-osm-hc)
hw-cycleway-line-paved-gr,highway-cycleway-line_paved-(gr-all-osm)
hw-cycleway-line-unpaved,highway-cycleway-line_unpaved-(def-all-osm)
hw-cycleway-line-unpaved-hc,highway-cycleway-line_unpaved-(def-all-osm-hc)
hw-cycleway-line-unpaved-gr,highway-cycleway-line_unpaved-(gr-all-osm)
hw-cycleway-line-unknown,highway-cycleway-line_unknown-(def-all-osm)
hw-cycleway-line-unknown-hc,highway-cycleway-line_unknown-(def-all-osm-hc)
hw-cycleway-line-unknown-gr,highway-cycleway-line_unknown-(gr-all-osm)
forbidden-bicycle-winter,access-bicycle_winter-no-(def-all-osm)
skiing-case,piste-trail_ski-case-(wnt-all-osm)
skiing-case-lipas,piste-trail_ski-case-(wnt-all-lipas_routes)
skiing-line-base,piste-trail_ski-line_base-(wnt-all-osm)
skiing-line-base-lipas,piste-trail_ski-line_base-(wnt-all-lipas_routes)
skiing-line-center,piste-trail_ski-line_center-(wnt-all-osm)
skiing-line-center-lipas,piste-trail_ski-line_center-(wnt-all-lipas_routes)
skiing-direction,piste-trail_ski-direction-(wnt-all-osm)
piste-bicycle-case,piste-trail_hike_fatbike-case-(wnt-all-osm)
piste-bicycle-line,piste-trail_hike_fatbike-line-(wnt-all-osm)
obstacle_vegetation,obstacle-vegetation-(def-all-osm)
obstacle_vegetation-hc,obstacle-vegetation-(def-all-osm-hc)
surface_mud,surface-mud-(def-all-osm)
surface_mud-hc,surface-mud-(def-all-osm-hc)
railway-transit-line,railway-transit-case-(def-all-osm)
railway-transit-hatching,railway-transit-line-(def-all-osm)
railway-service-line,railway-service-case-(def-all-osm)
railway-service-hatching,railway-service-line-(def-all-osm)
railway-line,railway-general-case-(def-all-osm)
railway-hatching,railway-general-line-(def-all-osm)
bridge-motorway-link-case,bridge-motorway_link-case-(def-all-osm)
bridge-motorway-link-case-hc,bridge-motorway_link-case-(def-all-osm-hc)
